Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAC.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4
2552000	-50158.70171722663	-50428.94945070104	270.247733474412	-50428.94945070104	1.1634675314051939	57.944687981786	0	7	84	71	0	1.1244630024120958	1.2922951475000761	0.0	1.359142678810024E-4	0.0	0.0013540143918690656	55.41970687282637	55.41970687282637	0.003634646374598293	1.6861874340814818E-4	0.4936085039655152	0.5063914960344837	5.898165024289117E-4	0.09556466138104848	0.33447230247676474	0.03461814518730096	0.061815651677733195	0.3265573863983891	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2553000	-50158.80450360883	-50433.46269605378	274.65819244495	-50433.46269605378	1.1149795938956668	55.232158914668524	0	7	84	71	0	1.136185843742516	1.3508371698222825	0.0	1.558872868381776E-4	0.0	0.0019165313136738503	49.21754262273417	49.21754262273417	0.005512981230058024	8.03626862692805E-4	0.4936085039655152	0.5063914960344837	5.634105612170589E-4	0.08142885853209714	0.33447230247676474	0.02641728404596583	0.061815651677733195	0.3265573863983891	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2554000	-50151.43151055807	-50433.438078978834	282.00656842076387	-50433.438078978834	1.0564391920350913	53.68579725727079	0	7	84	71	0	1.1355617099076252	1.3711751429507928	0.0	3.092658037002481E-4	0.0	0.002758585492226473	45.91813389080145	45.91813389080145	0.0046022519321908895	2.643193873624355E-4	0.4936085039655152	0.5063914960344837	6.289220912424119E-4	0.08142885853209714	0.33447230247676474	0.021647698311017136	0.061815651677733195	0.2844095844636543	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2555000	-50130.57985043437	-50427.392032575386	296.8121821410156	-50427.392032575386	0.9792107431676365	49.23253777008128	0	7	84	71	0	1.12871680718815	1.3084035729709693	0.0	2.179328848622515E-4	0.0	0.002727346807425135	54.4646130614128	54.4646130614128	0.004818090499750559	6.816479480909817E-4	0.4936085039655152	0.5063914960344837	6.867599426359274E-4	0.08142885853209714	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.2844095844636543	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2556000	-50123.34183892642	-50419.50178701443	296.1599480880101	-50419.50178701443	0.9603073545416932	47.948347726700106	0	7	84	71	0	1.1418195607654984	1.3409033561616777	0.0	3.840599488067857E-4	0.0	0.0031606472981523114	46.65062929471008	46.65062929471008	0.005927256075658544	1.5107747584656317E-4	0.4936085039655152	0.5063914960344837	6.723637717224334E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.354216533190068	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2557000	-50124.47089396039	-50422.40623169328	297.9353377328964	-50422.40623169328	0.9453206086406126	47.46920082983756	0	7	84	71	0	1.1563170018687698	1.3814532640816946	0.0	4.72178171109014E-4	0.0	0.003295399557864868	46.49789453861976	46.49789453861976	0.005497791893213146	5.340553759085312E-4	0.4936085039655152	0.5063914960344837	6.653085953636066E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.3113844024939059	0.2993634170445023	0.17541975649437366	0.19566208386509482	0.3295547425960293
2558000	-50115.56200334604	-50428.26334649638	312.7013431503469	-50428.26334649638	0.8926878437427437	42.915614141914034	0	7	84	71	0	1.1402084590689274	1.3566952169672861	0.0	3.276227877380833E-4	0.0	0.002602081678394695	53.14614802826905	53.14614802826905	0.003912923900443555	0.0014298346652998526	0.4936085039655152	0.5063914960344837	7.395807335696912E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.3223026904408414	0.2993634170445023	0.17541975649437366	0.19566208386509482	0.3295547425960293
2559000	-50127.83479768689	-50421.7068718653	293.8720741784129	-50421.7068718653	1.0040573054857689	47.18306424749744	0	7	84	71	0	1.110478634804976	1.3763486279706114	0.0	3.603954597861315E-4	0.0	0.0016387077926094176	50.811920914294376	50.811920914294376	0.003563095046633625	0.0013020025288141789	0.4936085039655152	0.5063914960344837	6.754572871915871E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.3223026904408414	0.2993634170445023	0.17541975649437366	0.19566208386509482	0.3295547425960293
2560000	-50136.66703564059	-50420.25534665331	283.5883110127241	-50420.25534665331	1.0589707777454083	50.960553462080945	0	7	84	71	0	1.1174789706749457	1.374364139034578	0.0	3.878700403610309E-4	0.0	0.0029831695090096174	46.11407197452504	46.11407197452504	0.003327636672521426	0.0012256932591302116	0.4936085039655152	0.5063914960344837	6.509111297631947E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.3223026904408414	0.2993634170445023	0.17541975649437366	0.19566208386509482	0.3295547425960293
2561000	-50124.58086662242	-50420.78230324664	296.2014366242223	-50420.78230324664	1.0178583223088835	49.00892863366306	0	7	84	71	0	1.1239668710085844	1.363045404539457	0.0	4.570971400908824E-4	0.0	0.0018154581402617435	51.56804842637944	51.56804842637944	0.005401244631766099	0.0012582139976597404	0.4936085039655152	0.5063914960344837	6.767777196697091E-4	0.07968310601972502	0.33447230247676474	0.036376706422839133	0.061815651677733195	0.3223026904408414	0.2993634170445023	0.17541975649437366	0.19566208386509482	0.3295547425960293
